,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Ilhabela,BR,-23.7781,-45.3581,18.49,72,2,1.39,clear sky
349,Belyy Yar,RU,53.6039,91.3903,18.94,82,38,1.0,mist
350,Sibolga,ID,1.7427,98.7792,27.89,80,66,0.71,broken clouds
351,Buchanan,LR,5.8808,-10.0467,24.3,87,99,3.82,moderate rain
352,Muli,MV,2.9167,73.5667,28.51,70,94,5.22,overcast clouds
353,Burdur,TR,37.7203,30.2908,17.39,72,0,3.6,clear sky
354,Nizhnevartovsk,RU,60.9344,76.5531,18.01,94,90,0.0,mist
355,Broome,US,42.2506,-75.833,22.21,92,1,3.6,clear sky
356,Matara,LK,5.9485,80.5353,27.18,79,99,5.05,overcast clouds
357,Puerto Leguizamo,CO,-0.1934,-74.7819,21.92,97,84,1.16,broken clouds
358,Lorengau,PG,-2.0226,147.2712,29.23,70,23,4.35,few clouds
359,Tres Arroyos,AR,-38.3739,-60.2798,5.3,85,100,1.14,overcast clouds
360,Mezen,RU,65.8522,44.24,11.75,74,100,2.61,overcast clouds
361,Ponta Delgada,PT,37.7333,-25.6667,21.4,88,40,4.12,scattered clouds
362,Shahr-E Babak,IR,30.1165,55.1186,24.96,15,4,3.08,clear sky
363,Moose Factory,CA,51.2585,-80.6094,21.0,73,1,4.12,clear sky
364,Rupert,US,42.6191,-113.6772,22.97,46,1,5.14,clear sky
365,Porto Santo,PT,33.072,-16.3415,20.72,68,20,3.6,few clouds
366,Yinchuan,CN,38.4681,106.2731,31.0,21,0,0.83,clear sky
367,Yakeshi,CN,49.2833,120.7333,19.06,86,100,4.76,overcast clouds
368,Goryachiy Klyuch,RU,44.6308,39.13,23.1,94,99,0.64,light rain
369,Mercedes,AR,-34.6515,-59.4307,8.24,94,100,7.63,moderate rain
370,Nikel,RU,69.4128,30.222,13.1,70,45,1.9,scattered clouds
371,Acari,PE,-15.4311,-74.6158,16.83,80,63,1.83,broken clouds
372,Port-Cartier,CA,50.0334,-66.8654,10.97,69,0,1.22,clear sky
373,Asfi,MA,32.2994,-9.2372,18.82,80,0,5.15,clear sky
374,Poya,NC,-21.35,165.15,22.96,46,1,6.49,clear sky
375,Banyo,CM,6.75,11.8167,17.9,95,100,1.04,overcast clouds
376,Xining,CN,36.6167,101.7667,20.39,51,96,1.46,overcast clouds
377,Arlit,NE,18.7369,7.3853,33.49,34,45,3.66,scattered clouds
378,Wicklow,IE,53.0,-6.4167,9.42,99,32,1.81,scattered clouds
379,Bosaso,SO,11.2842,49.1816,31.95,41,31,5.55,scattered clouds
380,Puerto Colombia,CO,10.9878,-74.9547,27.05,80,100,9.09,overcast clouds
381,Smyrna,US,33.884,-84.5144,25.93,84,75,0.0,broken clouds
382,Ugoofaaru,MV,5.6667,73.0,28.22,74,86,7.68,overcast clouds
383,Saint Anthony,US,45.0205,-93.218,22.94,88,40,2.06,scattered clouds
384,Barcelos,PT,41.5388,-8.6151,16.62,87,100,0.87,overcast clouds
385,Hirado,JP,33.3597,129.5531,30.64,78,4,6.59,clear sky
386,Cabo San Lucas,MX,22.8909,-109.9124,30.84,66,17,1.23,few clouds
387,Oranjemund,NA,-28.55,16.4333,13.85,75,98,2.66,overcast clouds
388,Bronnoysund,NO,65.4625,12.1997,17.0,77,90,2.06,overcast clouds
389,Hirara,JP,24.8,125.2833,30.15,84,75,4.12,light rain
390,Dhidhdhoo,MV,6.8833,73.1,27.78,74,100,8.25,overcast clouds
391,Raga,SS,8.4596,25.678,19.63,97,100,1.53,overcast clouds
392,Sabang,ID,5.8933,95.3214,28.06,78,99,6.29,overcast clouds
393,Norman Wells,CA,65.282,-126.8329,14.02,58,75,3.6,broken clouds
394,Fort Nelson,CA,58.8053,-122.7002,19.77,73,75,1.54,broken clouds
395,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.0,87,1,0.0,clear sky
396,Pathein,MM,16.7833,94.7333,30.55,69,78,4.2,broken clouds
397,Kieta,PG,-6.2167,155.6333,28.44,69,86,1.92,light rain
398,Atar,MR,20.5169,-13.0499,31.93,23,34,2.31,scattered clouds
399,Mayenne,FR,48.3333,-0.6667,14.69,96,97,4.19,light rain
400,Bacnotan,PH,16.7222,120.3525,29.91,72,68,2.96,broken clouds
401,Beloha,MG,-25.1667,45.05,14.96,94,0,2.3,clear sky
402,Porto Walter,BR,-8.2686,-72.7439,24.3,57,7,0.7,clear sky
403,Chengde,CN,40.9725,117.9361,24.13,72,69,0.94,broken clouds
404,Saquena,PE,-4.6667,-73.5167,24.02,73,46,0.93,scattered clouds
405,Constitucion,CL,-35.3333,-72.4167,8.45,75,86,1.34,overcast clouds
406,Chara,RU,56.9064,118.2631,14.92,92,100,1.03,light rain
407,Sarkand,KZ,45.41,79.9186,32.79,16,91,4.47,overcast clouds
408,Ponta Do Sol,PT,32.6667,-17.1,21.11,73,21,2.18,few clouds
409,San Carlos De Bariloche,AR,-41.1456,-71.3082,-1.14,64,0,2.06,clear sky
410,Monteagudo,BO,-19.8167,-63.9833,15.96,62,15,1.35,few clouds
411,Vanderhoof,CA,54.0166,-124.0198,21.29,55,48,0.53,scattered clouds
412,Beringovskiy,RU,63.05,179.3167,8.18,77,90,8.5,overcast clouds
413,Blajani,RO,45.3167,26.8167,17.87,57,0,1.98,clear sky
414,Kafr Abil,JO,32.4175,35.6694,25.23,91,14,1.36,few clouds
415,Kempsey,AU,-31.0833,152.8333,17.08,54,98,2.01,overcast clouds
416,Praya,CV,14.9215,-23.5087,26.3,83,40,1.03,scattered clouds
417,Macduff,GB,57.6701,-2.4969,13.99,92,18,4.32,few clouds
418,Bell Ville,AR,-32.6259,-62.6887,6.56,88,100,8.32,overcast clouds
419,Chicama,PE,-7.8447,-79.1469,17.42,83,38,3.17,scattered clouds
420,Evensk,RU,61.95,159.2333,18.97,43,24,3.72,few clouds
421,Manono,CD,-7.3,27.4167,19.94,35,9,1.46,clear sky
422,Grindavik,IS,63.8424,-22.4338,13.26,88,75,6.17,broken clouds
423,Maholi,IN,27.6667,80.4667,28.4,82,89,3.25,overcast clouds
424,Cayenne,GF,4.9333,-52.3333,26.72,83,0,1.34,clear sky
425,Ouadda,CF,8.0777,22.4007,18.89,98,100,1.11,overcast clouds
426,Luderitz,NA,-26.6481,15.1594,12.34,83,60,3.08,broken clouds
427,Santander,ES,43.4647,-3.8044,17.21,90,0,0.89,clear sky
428,Langham,CA,52.3668,-106.9679,18.34,51,100,2.92,overcast clouds
429,Ocampo,MX,21.65,-101.5,15.06,84,23,6.23,few clouds
430,Aasiaat,GL,68.7098,-52.8699,3.59,95,100,4.4,overcast clouds
431,Maarianhamina,AX,60.0973,19.9348,13.92,100,20,0.51,few clouds
432,Borovskoy,KZ,53.8,64.15,17.29,79,25,4.93,scattered clouds
433,Svetlyy,RU,54.675,20.1347,14.03,88,90,4.19,overcast clouds
434,Monterey,US,36.2505,-121.2516,18.8,1,0,3.76,clear sky
435,San Patricio,US,28.017,-97.5169,30.05,75,3,8.26,clear sky
436,Griffith,US,41.5284,-87.4237,24.47,85,1,0.45,clear sky
437,Tevaitoa,PF,-16.7833,-151.5,26.17,77,22,5.69,few clouds
438,Egvekinot,RU,66.3167,-179.1667,9.96,55,46,4.0,scattered clouds
439,Batemans Bay,AU,-35.7167,150.1833,19.0,43,68,2.95,broken clouds
440,Samarai,PG,-10.6167,150.6667,26.49,77,100,5.16,overcast clouds
441,San Luis,AR,-33.295,-66.3356,2.19,92,99,6.5,overcast clouds
442,Iseyin,NG,7.9667,3.6,21.42,97,100,2.48,overcast clouds
443,Adolfo Lopez Mateos,MX,28.4667,-107.3,17.74,88,92,3.49,overcast clouds
444,Sasykoli,RU,47.5515,46.9968,29.12,29,100,9.76,overcast clouds
445,Vestmanna,FO,62.1564,-7.1664,8.51,100,90,1.54,overcast clouds
446,Olafsvik,IS,64.8945,-23.7142,12.96,89,100,5.01,overcast clouds
447,Nsanje,MW,-16.92,35.262,15.07,92,0,0.61,clear sky
448,Dandong,CN,40.1292,124.3947,28.47,59,100,3.09,overcast clouds
449,Guines,FR,50.8671,1.8703,15.93,85,100,6.62,overcast clouds
450,Urumqi,CN,43.801,87.6005,28.53,25,0,3.0,clear sky
451,Anadyr,RU,64.75,177.4833,11.28,76,75,8.0,broken clouds
452,Maues,BR,-3.3836,-57.7186,26.64,55,97,1.05,overcast clouds
453,Kushiro,JP,42.975,144.3747,15.53,94,75,5.66,broken clouds
454,Hella,NO,67.2,14.4333,18.2,77,75,6.69,broken clouds
455,Port Shepstone,ZA,-30.7414,30.455,19.52,73,83,9.68,broken clouds
456,Abnub,EG,27.2696,31.1511,27.7,37,0,2.61,clear sky
457,Amazar,RU,53.858,120.875,11.15,97,100,3.68,overcast clouds
458,Grand Island,US,40.925,-98.342,26.28,76,1,0.89,clear sky
459,Porbandar,IN,21.6422,69.6093,27.65,73,98,4.94,overcast clouds
460,Indianola,US,41.3581,-93.5574,25.08,92,60,3.25,broken clouds
461,The Pas,CA,53.8251,-101.2541,15.01,94,1,1.75,clear sky
462,Sidi Ali,DZ,36.0998,0.4206,21.4,91,2,1.16,clear sky
463,Auki,SB,-8.7676,160.7034,28.83,66,57,1.17,broken clouds
464,Yulara,AU,-25.2406,130.9889,21.91,16,0,3.6,clear sky
465,Kitimat,CA,54.0524,-128.6534,19.39,72,99,2.04,overcast clouds
466,Santa Rosa,PH,14.3122,121.1114,31.17,62,94,3.67,overcast clouds
467,Ray,IN,23.6833,85.05,27.43,73,55,1.66,broken clouds
468,Saint-Paul,RE,-21.0096,55.2707,20.06,77,38,2.33,scattered clouds
469,Kibre Mengist,ET,5.8833,38.9833,15.11,96,100,0.96,light rain
470,Nichinan,JP,31.6,131.3667,32.82,66,12,7.52,few clouds
471,Betioky,MG,-23.7167,44.3833,14.07,74,0,2.08,clear sky
472,Malpe,IN,13.35,74.7167,26.61,83,35,1.47,scattered clouds
473,Mahibadhoo,MV,3.7833,72.9667,28.64,72,99,6.88,overcast clouds
474,College,US,64.8569,-147.8028,15.99,93,90,3.09,light rain
475,Kirensk,RU,57.7853,108.1119,22.12,40,77,1.4,broken clouds
476,Mursalimkino,RU,55.0379,58.5585,14.87,86,17,0.97,few clouds
477,Gashua,NG,12.871,11.0482,26.08,72,100,4.93,light rain
478,Cairns,AU,-16.9167,145.7667,25.59,89,75,4.63,light rain
479,Manta,EC,-0.95,-80.7333,21.88,88,90,2.57,overcast clouds
480,Klyuchi,RU,52.2667,79.1667,20.0,68,74,3.94,broken clouds
481,San Quintin,MX,30.4833,-115.95,20.0,80,5,3.19,clear sky
482,Cururupu,BR,-1.8283,-44.8683,23.68,87,2,1.79,clear sky
483,Cockburn Town,TC,21.4612,-71.1419,28.2,77,1,8.43,clear sky
484,Saint-Nazaire,FR,47.2833,-2.2,16.69,93,75,3.6,broken clouds
485,Nelson Bay,AU,-32.7167,152.15,20.05,55,97,0.89,overcast clouds
486,Tigil,RU,57.8,158.6667,16.27,52,38,6.72,scattered clouds
487,Sola,VU,-13.8833,167.55,24.58,82,100,7.32,overcast clouds
488,Noumea,NC,-22.2763,166.4572,18.99,70,68,8.11,broken clouds
489,Mehamn,NO,71.0357,27.8492,11.97,76,0,2.06,clear sky
490,Gympie,AU,-26.1898,152.665,16.28,89,94,3.78,light rain
491,Leningradskiy,RU,69.3833,178.4167,4.51,74,24,7.47,few clouds
492,Sakaiminato,JP,35.55,133.2333,23.99,94,90,11.32,overcast clouds
493,Gravdal,NO,68.1214,13.5031,13.87,84,68,3.98,broken clouds
494,Boden,SE,65.8252,21.6886,15.0,99,100,1.53,overcast clouds
495,Mahanoro,MG,-19.9,48.8,16.88,89,0,2.48,clear sky
496,Sangin,AF,32.0728,64.8359,31.41,11,0,1.48,clear sky
497,Bamako,ML,12.65,-8.0,23.23,100,20,1.54,light rain
498,Bathsheba,BB,13.2167,-59.5167,28.34,69,40,8.75,scattered clouds
499,Pakdasht,IR,35.4752,51.6807,30.0,22,45,1.89,scattered clouds
500,Balaghat,IN,21.8,80.1833,26.47,83,95,1.59,overcast clouds
501,Pingxiang,CN,27.6167,113.85,32.94,66,100,0.25,overcast clouds
502,Maceio,BR,-9.6658,-35.7353,22.69,94,75,2.06,broken clouds
503,Gat,IL,31.61,34.7642,25.51,100,2,0.94,clear sky
504,Rosario Oeste,BR,-14.8361,-56.4275,24.67,40,33,2.36,scattered clouds
505,Alto Paraguai,BR,-14.5136,-56.4825,23.68,43,22,2.69,few clouds
506,Waingapu,ID,-9.6567,120.2641,29.01,51,78,5.52,broken clouds
507,Laizhou,CN,37.1717,119.9214,28.4,54,100,1.17,light rain
508,Plerin,FR,48.5425,-2.7798,15.18,90,75,1.79,broken clouds
509,Lata,PT,40.1629,-8.3327,15.45,98,54,0.95,broken clouds
510,Arrecife,ES,28.963,-13.5477,21.04,78,20,6.69,few clouds
511,Erdenet,MN,49.0333,104.0833,16.92,56,100,1.75,overcast clouds
512,Whitehorse,CA,60.7161,-135.0538,12.43,71,90,7.2,overcast clouds
513,Moerai,PF,-22.4333,-151.3333,22.72,71,6,4.3,clear sky
514,Carmen Del Parana,PY,-27.2333,-56.2167,22.07,52,39,2.97,scattered clouds
515,Eirunepe,BR,-6.6603,-69.8736,23.43,68,1,0.88,clear sky
516,Nome,US,64.5011,-165.4064,16.04,64,90,5.14,light rain
517,Rjukan,NO,59.8789,8.5941,11.92,94,57,0.43,broken clouds
518,Roald,NO,62.5833,6.1333,12.83,93,8,3.09,clear sky
519,Itarema,BR,-2.9248,-39.9167,26.2,75,7,7.03,clear sky
520,Bad Hall,AT,48.0383,14.2077,14.79,86,84,1.33,broken clouds
521,Arinos,BR,-15.9169,-46.1056,17.36,53,1,1.21,clear sky
522,Asosa,ET,10.0667,34.5333,14.47,88,87,1.69,overcast clouds
523,Tuzha,RU,57.6062,47.936,17.89,70,100,4.0,overcast clouds
524,Taoudenni,ML,22.6783,-3.9836,36.73,10,1,1.91,clear sky
525,Hay River,CA,60.8156,-115.7999,7.64,89,100,1.15,light rain
526,Pavilosta,LV,56.8879,21.1859,16.97,87,93,5.54,light rain
527,Eldorado,BR,-23.7869,-54.2836,18.33,54,9,2.98,clear sky
528,Neryungri,RU,56.6709,124.6491,17.87,57,40,5.26,scattered clouds
529,Hima,UG,0.2958,30.1804,18.83,91,97,0.74,light rain
530,Quatre Cocos,MU,-20.2078,57.7625,20.06,85,91,5.8,light rain
531,Chalette-Sur-Loing,FR,48.0134,2.7359,12.96,84,95,3.17,overcast clouds
532,Yamada,JP,39.4667,141.95,24.47,98,100,4.09,moderate rain
533,Puerto Escondido,MX,15.85,-97.0667,27.46,74,90,0.0,overcast clouds
534,Lac Du Bonnet,CA,50.2536,-96.0612,26.05,48,45,2.16,scattered clouds
535,Bowen,AU,-20.0167,148.2333,23.45,55,0,7.87,clear sky
536,Rio Gallegos,AR,-51.6226,-69.2181,3.03,65,75,4.63,broken clouds
537,Kursk,RU,51.7303,36.1939,17.64,82,0,3.0,clear sky
538,Mataram,ID,-8.5833,116.1167,30.45,60,71,3.36,broken clouds
539,Mazagao,BR,-0.115,-51.2894,29.03,84,81,1.96,broken clouds
540,Kamaishi,JP,39.2667,141.8833,29.53,98,100,4.35,overcast clouds
541,Tiznit,MA,29.5833,-9.5,17.28,87,11,0.98,few clouds
542,Camocim,BR,-2.9022,-40.8411,26.1,74,30,6.67,scattered clouds
543,Aitape,PG,-3.1374,142.3475,29.3,70,32,4.04,scattered clouds
544,Tapejara,BR,-28.0681,-52.0139,13.74,75,91,1.62,overcast clouds
545,Mapiripan,CO,2.8892,-72.1256,22.56,95,64,1.97,broken clouds
546,Muros,ES,42.7762,-9.0603,16.24,93,92,2.01,overcast clouds
547,Ndele,CF,8.4109,20.6473,19.86,97,100,1.01,overcast clouds
548,Blind River,CA,46.1834,-82.9582,22.14,99,100,3.65,light rain
549,Rayachoti,IN,14.05,78.75,29.37,58,93,4.3,overcast clouds
550,Colesberg,ZA,-30.72,25.0972,6.31,43,9,4.05,clear sky
551,North Bend,US,43.4065,-124.2243,19.58,72,1,9.77,clear sky
552,Yelahanka,IN,13.1075,77.6003,24.95,78,40,4.12,scattered clouds
553,Nanlong,CN,31.3533,106.0631,28.76,70,87,2.33,overcast clouds
554,Kudahuvadhoo,MV,2.6708,72.8944,28.26,72,84,5.26,broken clouds
555,Nongan,CN,44.382,125.1685,28.23,57,3,3.44,clear sky
556,Saint-Augustin,CA,51.226,-58.6502,13.47,66,5,1.63,clear sky
557,Bima,ID,-8.4667,118.7167,31.92,46,100,2.42,overcast clouds
558,Novyy Urgal,RU,51.0736,132.5642,11.11,90,100,0.28,overcast clouds
559,Iranshahr,IR,27.2025,60.6848,33.19,15,0,2.06,clear sky
560,Nikolayevsk-Na-Amure,RU,53.1406,140.73,19.26,40,1,3.99,clear sky
561,Rudbar,AF,30.15,62.6,31.2,17,0,5.02,clear sky
562,Alofi,NU,-19.0595,-169.9187,25.94,89,98,3.6,light rain
563,Kostomuksha,RU,64.571,30.5767,11.97,98,100,3.45,overcast clouds
564,Ucluelet,CA,48.9329,-125.5528,21.16,88,3,2.21,clear sky
565,Bria,CF,6.5423,21.9863,19.18,91,100,1.21,overcast clouds
566,Chama,CH,47.1821,8.4636,15.34,91,83,0.0,broken clouds
567,Sivaki,RU,52.6333,126.75,12.3,85,100,3.29,overcast clouds
568,Zaraza,VE,9.3503,-65.3245,22.19,97,88,1.83,overcast clouds
569,George Town,MY,5.4112,100.3354,30.96,74,20,0.89,few clouds
570,Pangody,RU,65.85,74.4859,16.41,63,5,7.61,clear sky
571,Pompeia,BR,-22.1086,-50.1717,20.27,50,22,2.28,few clouds
572,Praia Da Vitoria,PT,38.7333,-27.0667,22.14,88,75,6.92,broken clouds
573,Batagay,RU,67.6333,134.6333,28.64,24,17,1.22,few clouds
574,Mul,IN,20.0667,79.6667,29.04,73,92,2.48,overcast clouds
575,Nang Rong,TH,14.6377,102.7914,31.23,59,100,3.85,overcast clouds
576,Yongan,CN,39.6957,113.6871,25.23,46,29,2.9,scattered clouds
577,Lubumbashi,CD,-11.6609,27.4794,12.26,55,0,0.86,clear sky
578,Nilanga,IN,18.1,76.7667,27.08,69,100,4.35,overcast clouds
579,Banepa,NP,27.6298,85.5214,23.18,83,75,0.0,broken clouds
580,Suffolk,US,40.8668,-72.7996,22.52,93,90,3.13,overcast clouds
581,Oblivskaya,RU,48.5362,42.5014,25.33,33,97,2.93,overcast clouds
582,Whitley Bay,GB,55.0397,-1.4471,13.95,93,20,2.06,few clouds
583,Fayaoue,NC,-20.65,166.5333,21.25,59,43,10.14,scattered clouds
584,Lerwick,GB,60.1545,-1.1494,14.0,88,97,4.97,overcast clouds
585,Fatehpur,IN,25.9333,80.8,29.89,73,68,2.79,broken clouds
586,Igarka,RU,67.4667,86.5833,18.45,55,3,2.56,clear sky
587,Rincon,US,32.296,-81.2354,26.95,91,75,0.0,broken clouds
588,Leon Valley,US,29.4952,-98.6186,29.32,75,1,1.34,clear sky
589,Redlands,US,34.0556,-117.1825,34.81,39,0,1.79,clear sky
590,San Luis De La Paz,MX,21.3,-100.5167,17.61,91,13,4.82,few clouds
591,Bronkhorstspruit,ZA,-25.8102,28.7425,15.5,42,1,2.6,clear sky
592,Rocha,UY,-34.4833,-54.3333,11.55,95,100,6.47,moderate rain
593,Vardo,NO,70.3705,31.1107,12.11,81,36,3.42,scattered clouds
594,Nagato,JP,34.3833,131.2,26.94,86,99,9.74,moderate rain
595,Doha,QA,25.2867,51.5333,33.99,84,0,4.12,haze
596,Ulaanbaatar,MN,47.9077,106.8832,15.07,58,1,3.0,smoke
597,Rawson,AR,-43.3002,-65.1023,6.47,60,0,2.83,clear sky
598,Aldan,RU,58.6031,125.3894,21.35,50,57,3.75,broken clouds
599,Aquiraz,BR,-3.9014,-38.3911,27.05,74,75,6.7,broken clouds
600,Mubi,NG,10.2676,13.2644,21.02,94,100,0.94,light rain
601,Sikonge,TZ,-5.6333,32.7667,18.29,53,22,2.64,few clouds
602,Mandalgovi,MN,45.7625,106.2708,16.51,43,31,6.83,scattered clouds
603,Tabuk,PH,17.4189,121.4443,31.79,61,85,1.28,overcast clouds
604,Okhotsk,RU,59.3833,143.3,18.08,67,71,5.36,broken clouds
605,Dzilam Gonzalez,MX,21.2833,-88.9333,27.69,71,0,3.99,clear sky
606,Soe,ID,-9.8607,124.284,27.26,41,16,2.71,few clouds
607,Rawah,IQ,34.4816,41.9093,28.9,34,0,3.81,clear sky
608,Tungor,RU,53.3808,142.9564,17.51,51,0,3.79,clear sky
609,Komsomolskiy,UZ,40.4272,71.7189,30.4,26,0,3.09,clear sky
610,Bilibino,RU,68.0546,166.4372,19.12,28,72,0.86,broken clouds
611,Sylvan Lake,CA,52.3168,-114.0853,16.36,66,90,1.03,overcast clouds
612,San Policarpo,PH,12.1791,125.5072,29.35,67,100,1.77,heavy intensity rain
613,Khandyga,RU,62.6667,135.6,28.04,30,9,0.7,clear sky
614,Yar-Sale,RU,66.8333,70.8333,11.6,66,100,7.53,overcast clouds
615,Dunmore Town,BS,25.5,-76.65,28.49,74,2,5.42,clear sky
616,Mangrol,IN,21.1167,70.1167,27.71,74,100,4.85,overcast clouds
617,Tumut,AU,-35.3,148.2167,14.55,70,100,1.5,overcast clouds
618,Taltal,CL,-25.4,-70.4833,13.72,70,2,1.89,clear sky
619,Kroya,ID,-7.6331,109.2461,28.95,71,14,2.14,few clouds
620,Batticaloa,LK,7.7102,81.6924,28.07,70,97,2.3,overcast clouds
621,Inta,RU,66.0317,60.1659,8.98,95,100,2.74,overcast clouds
622,Butig,PH,7.7244,124.3008,22.72,79,100,1.04,overcast clouds
623,Pedernales,DO,18.0384,-71.744,27.49,73,6,0.85,clear sky
624,Rawlins,US,41.7911,-107.2387,23.12,18,1,3.6,clear sky
625,Taos,US,36.4072,-105.5731,23.18,30,1,0.45,clear sky
626,Ginir,ET,7.1333,40.7,14.42,84,85,1.07,light rain
627,Ushtobe,KZ,45.2514,77.9838,35.58,13,99,10.54,overcast clouds
628,Lisakovsk,KZ,52.5369,62.4936,17.1,75,97,4.51,overcast clouds
629,Deputatskiy,RU,69.3,139.9,23.84,33,14,0.79,few clouds
630,Panjab,AF,34.388,67.0233,14.91,31,0,2.22,clear sky
631,Shetpe,KZ,44.1667,52.1167,32.54,16,60,3.21,broken clouds
632,Karema,TZ,-6.8205,30.4389,21.15,55,12,2.44,few clouds
633,Kodinsk,RU,58.6881,99.1844,24.15,44,93,2.7,overcast clouds
634,Vanimo,PG,-2.6741,141.3028,28.9,70,72,3.46,broken clouds
635,Sao Joao Da Barra,BR,-21.6403,-41.0511,20.4,84,0,5.56,clear sky
636,Krasnoselkup,RU,65.7,82.4667,18.34,54,7,6.13,clear sky
637,Tyrma,RU,50.0833,132.1667,11.09,93,100,1.47,overcast clouds
638,Mae Sai,TH,20.4335,99.8762,29.62,63,100,1.0,overcast clouds
639,Wanning,CN,18.8003,110.3967,32.06,64,100,4.74,overcast clouds
640,Hami,CN,42.8,93.45,30.77,18,100,7.88,overcast clouds
641,Bandarbeyla,SO,9.4942,50.8122,24.84,77,59,10.69,broken clouds
642,Mikhaylovka,RU,50.06,43.2379,28.11,30,100,7.84,overcast clouds
643,Morgan City,US,29.6994,-91.2068,28.33,94,1,2.06,clear sky
644,Dzaoudzi,YT,-12.7887,45.2699,23.94,78,0,4.12,clear sky
645,Takoradi,GH,4.8845,-1.7554,23.8,90,77,4.02,light rain
646,Half Moon Bay,US,37.4636,-122.4286,23.93,85,20,0.45,few clouds
647,Chandauli,IN,25.2667,83.2667,27.03,78,96,3.15,overcast clouds
648,Koszalin,PL,54.1944,16.1722,14.5,85,76,3.26,broken clouds
649,Ivnya,RU,51.0629,36.1343,19.95,44,66,3.42,broken clouds
650,Den Helder,NL,52.9599,4.7593,16.99,78,75,7.2,broken clouds
651,Coahuayana,MX,18.7333,-103.6833,27.71,87,96,2.36,overcast clouds
652,Kasumkent,RU,41.6773,48.146,27.67,44,16,2.15,few clouds
653,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,22.6,39,2,2.27,clear sky
654,Warragul,AU,-38.1667,145.9333,16.8,49,98,1.84,overcast clouds
655,La Union,PE,-5.4,-80.75,18.38,73,6,7.05,clear sky
656,Atambua,ID,-9.1061,124.8925,28.64,49,7,0.91,clear sky
657,Chapleau,CA,47.8405,-83.4034,18.24,99,96,3.23,overcast clouds
658,Abong Mbang,CM,3.9833,13.1833,18.16,100,69,1.23,broken clouds
659,Tucupita,VE,9.0622,-62.051,23.07,99,100,1.44,overcast clouds
660,Ekhabi,RU,53.5102,142.9671,17.24,51,0,3.68,clear sky
661,Susangerd,IR,31.5608,48.1831,29.01,10,0,3.71,clear sky
662,Port Macquarie,AU,-31.4333,152.9167,17.98,54,81,4.01,broken clouds
663,Surt,LY,31.2089,16.5887,26.75,75,0,4.93,clear sky
664,Sumter,US,28.7086,-82.0831,26.97,87,67,0.86,broken clouds
665,Tateyama,JP,34.9833,139.8667,32.01,87,98,13.91,overcast clouds
666,Gwadar,PK,25.1216,62.3254,26.8,78,85,3.15,overcast clouds
667,La Palma,US,33.8464,-118.0467,29.72,77,1,2.24,clear sky
668,Insch,GB,57.3427,-2.6132,13.26,92,42,1.7,scattered clouds
669,Gladstone,AU,-23.85,151.25,22.96,43,49,5.66,scattered clouds
670,Gorin,RU,51.1983,136.6669,13.67,87,100,1.38,overcast clouds
671,Ola,RU,59.5833,151.2833,17.44,58,27,1.55,scattered clouds
672,Tacuarembo,UY,-31.7333,-55.9833,19.33,69,95,1.97,overcast clouds
673,Iowa City,US,41.6611,-91.5302,24.8,84,1,3.09,clear sky
